title,description,link,content
Polícia prende homem por forjar acidente para matar ex-esposa e receber seguro de vida de R$ 1 milhão em Uberlândia,"O marido é suspeito de desativar o airbag da esposa e provocar acidente com um carro alugado. O crime ocorreu no dia 30 de agosto de 2024 e segundo a Polícia Civil, uma apólice de seguro foi assinada cerca de 20 dias antes.",https://g1.globo.com/mg/triangulo-mineiro/noticia/2024/12/05/apos-forjar-acidente-que-matou-a-ex-esposa-para-receber-seguro-de-vida-de-r-1-milhao-homem-e-preso-em-uberlandia.ghtml," 🔔 Receba no WhatsApp as notícias do Triângulo e região 📲 Siga o g1 Triângulo no Instagram, Facebook e X"
Câmera corporal de PM registra começo de abordagem que terminou com idosa e homem agredidos em Barueri,Caso ocorreu na Rua Mar Negro na noite desta quarta-feira (4); imagem da câmera corporal não mostra o momento das agressões registrado por testemunhas. Corregedoria da PM afastou 12 policiais militares nesta quinta-feira (5).,https://g1.globo.com/sp/sao-paulo/noticia/2024/12/05/camera-corporal-de-pm-registra-comeco-de-abordagem-que-terminou-com-idosa-e-homem-agredidos-em-barueri.ghtml,
Santos retoma linha turística de ônibus com novas rotas para a temporada de verão,"Segundo a Prefeitura de Santos, no litoral de São Paulo, a linha deve passar a operar até o fim deste mês.",https://g1.globo.com/sp/santos-regiao/noticia/2024/12/05/santos-retoma-linha-turistica-de-onibus-com-novas-rotas-para-a-temporada-de-verao.ghtml, ✅Clique aqui para seguir o canal do g1 Santos no WhatsApp.
Operação contra o tráfico de drogas termina com 11 presos em Nanuque,"Durante a ação, policiais apreenderam drogas, dinheiro, uma arma de fogo e munições.",https://g1.globo.com/mg/vales-mg/noticia/2024/12/05/operacao-contra-o-trafico-de-drogas-termina-com-11-presos-em-nanuque.ghtml, 📲 Clique aqui para seguir o canal do g1 Vales no WhatsApp
Crise ou birra?,"Como identificar, prevenir e agir com crianças com TEA.",https://g1.globo.com/pr/parana/especial-publicitario/soulmare-clinica-de-autismo/noticia/2024/12/05/crise-ou-birra.ghtml,
Virgínia presenteia mãe com viagem que ela sonha desde quando era faxineira; vídeo,Margareth Serrão atualmente apresenta um programa de televisão com a filha. Destino da viagem ainda não foi divulgado.,https://g1.globo.com/go/goias/noticia/2024/12/05/virginia-presenteia-mae-com-viagem-que-ela-sonha-desde-quando-era-faxineira.ghtml, ✅ Clique e siga o canal do g1 GO no WhatsApp 📱 Veja outras notícias da região no g1 Goiás.
"Trecho da Rodovia Raposo Tavares é interditado para obras de pavimentação a partir desta sexta-feira, em Presidente Venceslau","Trabalho será realizado até sábado (7), com rota alternativa para motoristas.",https://g1.globo.com/sp/presidente-prudente-regiao/noticia/2024/12/05/trecho-da-rodovia-raposo-tavares-e-interditado-para-obras-de-pavimentacao-a-partir-desta-sexta-feira-em-presidente-venceslau.ghtml, 📱 Participe do Canal do g1 Presidente Prudente e Região no WhatsApp
Petrolina recebe a 16ª edição do Salão de Arte Contemporânea do Sesc PE,"Com a curadoria da instrutora de atividades artísticas do Sesc, Lys Valentim, cidade receberá três desses trabalhos, das artistas Laura Pash, Sarah Rafaely e Bruna Acioly.",https://g1.globo.com/pe/petrolina-regiao/noticia/2024/12/05/petrolina-recebe-a-16a-edicao-do-salao-de-arte-contemporanea-do-sesc-pe.ghtml,
Vereador de cidade da Bahia é condenado a 14 anos de prisão por mandar matar médico,"Crime aconteceu no dia 2 de maio de 2014, quando a vítima saia da academia e foi baleado com tiros na cabeça, na cidade de Paripiranga, a cerca de 400 km de Salvador.",https://g1.globo.com/ba/bahia/noticia/2024/12/05/vereador-condenado-bahia.ghtml, Assista aos vídeos do g1 e TV Bahia 💻
Governo de Roraima recebe nota A em capacidade de pagamento do Tesouro Nacional,"Previsão de orçamento para 2025 é de R$ 8 bilhões, um aumento de 120% se comparado a 2018, quando Antonio Denarium (PP) passou a governar o estado.",https://g1.globo.com/rr/roraima/noticia/2024/12/05/governo-de-roraima-recebe-nota-a-em-capacidade-de-pagamento-do-tesouro-nacional.ghtml, ✅ Receba as notícias do g1 Roraima no WhatsApp
